series_name,episode,series_ep,season,season_ep,url,user_rating,user_votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,assinantes,ano
House of Cards,Chapter 25,25,2,12,http://www.imdb.com/title/tt3326204/,9,2782,0.008983112,0.001077973,0.001077973,0.002874596,0.004311894,0.015450952,0.053539346,0.175709666,0.377650018,0.35932447,48.36,2014
House of Cards,Chapter 26,26,2,13,http://www.imdb.com/title/tt3326208/,9.6,4867,0.01539093,0.002052124,0.001846912,0.002052124,0.003488611,0.005335522,0.016416992,0.060127232,0.173814898,0.719474656,48.36,2014
House of Cards,Chapter 27,27,3,1,http://www.imdb.com/title/tt3513862/,8.2,3188,0.014424585,0.002195045,0.004076513,0.005957981,0.015992474,0.046723111,0.147381624,0.360614613,0.216995923,0.185638131,62.27,2015
House of Cards,Chapter 28,28,3,2,http://www.imdb.com/title/tt3892086/,8.6,2816,0.014199503,7.10E-04,0.003904863,0.003194888,0.009939652,0.024494143,0.096911608,0.288249911,0.335463259,0.222932197,62.27,2015
House of Cards,Chapter 29,29,3,3,http://www.imdb.com/title/tt3892088/,8.7,3006,0.032590622,0.005320918,0.00498836,0.004655803,0.012304623,0.02394413,0.074825407,0.198536748,0.356834054,0.285999335,62.27,2015
House of Cards,Chapter 30,30,3,4,http://www.imdb.com/title/tt3892094/,8.4,2625,0.020182788,0.003046458,0.004569688,0.00571211,0.0156131,0.030845392,0.11195735,0.340060929,0.265803503,0.202208682,62.27,2015
House of Cards,Chapter 31,31,3,5,http://www.imdb.com/title/tt3897442/,8.3,2513,0.014319809,0.00159109,0.00477327,0.00477327,0.012330947,0.038981702,0.116149562,0.357597454,0.262927605,0.18655529,62.27,2015
House of Cards,Chapter 32,32,3,6,http://www.imdb.com/title/tt3897454/,9.2,3676,0.022022838,0.00353453,0.004622077,0.005437738,0.007069059,0.012506797,0.037248505,0.12343665,0.267536705,0.516585101,62.27,2015
House of Cards,Chapter 33,33,3,7,http://www.imdb.com/title/tt3918768/,8.3,2546,0.015312132,0.002748331,0.003926188,0.008244994,0.012956419,0.040439733,0.1401649,0.342363565,0.215547703,0.218296035,62.27,2015
House of Cards,Chapter 34,34,3,8,http://www.imdb.com/title/tt4035250/,8.4,2407,0.017485429,0.001248959,0.004579517,0.004163197,0.006244796,0.034138218,0.10865945,0.310574521,0.309325562,0.20358035,62.27,2015
